Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Platform freelancer,Platform freelancer1,Prediction,Probability
25-30,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Bulanan,Layanan SEO,NA,NA,Upwork,Other,0,0,0.21333333333333335
31-35,Lower,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Dukungan dari platform freelancer,N/A,Other,0,0,0.1
25-30,Upper,Sumatera Utara,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Bulanan,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.14
31-35,Middle,Sumatera Selatan,Laki-Laki,Mahasiswa/pelajar,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp15.000.000 - Rp75.000.000,Tidak,Ya,51-100,Ya,Bulanan,Penulisan konten,NA,NA,Fiverr,Other,0,0,0.07666666666666666
31-35,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Tidak menentu,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8033333333333333
36-40,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Lebih dari Rp15 miliar,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Harian,Layanan SEO,NA,NA,Project.co.id,Other,0,0,0.10666666666666667
31-35,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Dukungan dari platform freelancer,N/A,Other,0,0,0.11333333333333333
25-30,Upper,DKI Jakarta,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Penulisan konten,NA,NA,Sribu,Sribu,1,1,0.8
25-30,Middle,Banten,Laki-Laki,Bekerja paruh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.09666666666666666
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,Kurang dari 5,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.9233333333333333
36-40,Upper,Jawa Tengah,Laki-Laki,Bekerja paruh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.11333333333333333
31-35,Lower,DI Yogyakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Ya,Bulanan,Desain logo,NA,NA,Other,Other,0,0,0.11333333333333333
25-30,Upper,Jawa Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Penulisan konten,NA,NA,Fastwork,Other,0,0,0.10333333333333333
36-40,Middle,DKI Jakarta,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.10666666666666667
25-30,Upper,Banten,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Harian,Desain logo,NA,NA,Fastwork,Other,0,0,0.05333333333333334
31-35,Middle,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Mingguan,Penulisan konten,NA,NA,Project.co.id,Other,0,0,0.13333333333333333
31-35,Upper,Banten,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.09666666666666666
31-35,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Tidak menentu,Desain logo,NA,NA,Sribu,Sribu,1,1,0.87
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Mingguan,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.95
36-40,Middle,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Other,0,0,0.09
31-35,Middle,DKI Jakarta,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Mingguan,Desain logo,NA,NA,Project.co.id,Other,0,0,0.10666666666666667
25-30,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Tidak menentu,Desain logo,NA,NA,Project.co.id,Other,0,0,0.19
25-30,Upper,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,Lebih dari 100,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.18666666666666668
36-40,Upper,Banten,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Tidak ada,0,0,0.04666666666666667
31-35,Upper,DI Yogyakarta,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Ya,Bulanan,Layanan SEO,NA,NA,Project.co.id,Other,0,0,0.13666666666666666
25-30,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.13333333333333333
31-35,Lower,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp15.000.000 - Rp75.000.000,Ya,Ya,6-10,Ya,Harian,Layanan SEO,NA,NA,Upwork,Other,0,0,0.07
41-45,Middle,Riau,Perempuan,Pemilik usaha/Wiraswasta,Ya,Fashion,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Tidak ada,0,0,0.07666666666666666
41-45,Middle,DKI Jakarta,Perempuan,Tidak bekerja,Ya,Non-profit,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.09333333333333334
25-30,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Bulanan,Pengembangan website,NA,NA,Upwork,Other,0,0,0.15
31-35,Lower,Sumatera Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Sribu,1,1,0.7033333333333334
25-30,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.8666666666666667
