No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
33,25-30 tahun,Middle,Jawa Tengah,Perempuan,Tidak bekerja,Ya,Other,Kurang dari Rp750 juta,Semarang,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,,,Strategi pemasaran,,2,Lebih banyak sumber daya tutorial,,,,2,2,2,2,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,2,3,Media sosial,Tidak ada,2,Tidak ada,Tidak ada,0
34,25-30 tahun,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Medan,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,4,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,10,Teman atau kolega,Upwork,9,Lebih dipromosikan kan bagus fitur nya,Other,0
35,31-35 tahun,Middle,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,,Mencari keterampilan yang tepat,Bulanan,Pengembangan website,NA,NA,,,Strategi pemasaran,,9,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Project.co.id,9,Semoga lebih baik lagi dan sukses,Other,0
36,36-40 tahun,Upper,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,20-Nov,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Triwulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,9,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Pencarian online,Project.co.id,9,Lebih fleksibel dalam soal fee atau komisi dari pada satu kali pembuatan jasa,Other,0
37,31-35 tahun,Upper,Bali,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bali,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Bulanan,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Teman atau kolega,Sribu,10,Agar lebih baik lagi dalam pelayanan,Sribu,1
38,25-30 tahun,Upper,Jawa Timur,Laki-Laki,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,,,Strategi pemasaran,Manajemen media sosial,5,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,6,Media sosial,Fiverr,6,belum pernah menggunakannya,Other,0
39,36-40 tahun,Upper,Kepulauan Riau,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Batam,Kurang dari Rp7.500.000,Ya,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Dukungan dari platform freelancer,,,Strategi pemasaran,,5,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,9,Media sosial,Sribu,8,Desain web lebih menarik,Sribu,1
40,25-30 tahun,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Lebih dari Rp15 miliar,Surabaya,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Fastwork,10,Tidak ada,Other,0
41,36-40 tahun,Middle,Nusa Tenggara Barat,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Mataram,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Diberi rekomendasi,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,Desain logo,,Strategi pemasaran,,7,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,5,Teman atau kolega,Tidak ada,6,Tidak ada,Tidak ada,0
42,36-40 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Mingguan,Pengembangan website,NA,NA,Desain logo,,,,9,,,,Opsi harga yang fleksibel,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Teman atau kolega,Sribu,9,Tolong kualitas harga lebih flesibel,Sribu,1
43,25-30 tahun,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Semarang,Rp15.000.000 - Rp75.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,9,Media sosial,Fiverr,7,Pembayaran diperbanyak lagi,Other,0
44,31-35 tahun,Middle,Jawa Barat,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Tidak,Mencari sendiri,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Dukungan dari platform freelancer,,,,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,,,,5,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Sribu,10,Lebih baik,Sribu,1
45,25-30 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Tidak,Tidak,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Media sosial,Upwork,8,"Lebih banyak kriteria freelancer, freelancer yang memenuhi kriteria dan ilmu",Other,0
46,36-40 tahun,Upper,Bali,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Bali,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,,,Strategi pemasaran,,2,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,2,4,Media sosial,Tidak ada,3,Tidak ada,Tidak ada,0
47,25-30 tahun,Middle,Sulawesi Tengah,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Makassar,Rp75.000.000 - Rp150.000.000,Tidak,Ya,21-50,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Penulisan konten,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,10,Sangat baik,Sribu,1
48,25-30 tahun,Middle,Jawa Tengah,Laki-Laki,Jenis pekerjaan yang dibayar lainnya,Ya,E-commerce,Kurang dari Rp750 juta,Jawa tengah,Rp75.000.000 - Rp150.000.000,Tidak,Ya,20-Nov,Ya,Diberi rekomendasi,,,Memenuhi tenggat waktu,,,Harian,Layanan SEO,NA,NA,Desain logo,,Strategi pemasaran,,9,,,,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,9,Lebih tingkat lagi,Sribu,1
49,31-35 tahun,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Medan,Lebih dari Rp150.000.000,Tidak,Ya,Lebih dari 100,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Harian,Layanan SEO,NA,NA,,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Teman atau kolega,Sribu,10,"Layanan sudah baik, cukup pertahankan",Sribu,1
50,31-35 tahun,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,,,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Pencarian online,Project.co.id,10,Lebih banyak beriklan agar banyak yang mengetahui,Other,0
51,41-45 tahun,Upper,Jawa Timur,Perempuan,Tidak bekerja,Ya,Kuliner,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Informasi lebih lanjut tentang manfaat menggunakan freelancer,,,Strategi pemasaran,Manajemen media sosial,6,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,10,Teman atau kolega,Other,7,Desain user interface dibuat lebih simple tidak terlalu banyak hal ditampilkan,Other,0
52,25-30 tahun,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,,,Strategi pemasaran,Manajemen media sosial,5,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,6,Media sosial,Tidak ada,6,Mungkin lebih ditingkatkan pemasarannya agar konsumen lebih mengenal apa itu sribu,Tidak ada,0
53,31-35 tahun,Middle,Sumatera Utara,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Medan,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,6,,,,Opsi harga yang fleksibel,4,4,3,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,7,Media sosial,Project.co.id,7,Mungkin suatu saat nanti saya memerlukan atau akan mencoba nya,Other,0
54,25-30 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,,Harian,Pengembangan website,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Upwork,10,Baguuuus ingin mencoba,Other,0
55,36-40 tahun,Middle,Nusa Tenggara Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bali,Rp15.000.000 - Rp75.000.000,Tidak,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,,,Biaya,,Tidak menentu,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,7,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,7,7,Teman atau kolega,Project.co.id,8,Memperbanyak peluang untuk mengembangkan bisnis,Other,0
56,31-35 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Harian,Penulisan konten,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,10,Pencarian online,Sribu,10,Lebih banyak pilihan freelancernya,Sribu,1
57,36-40 tahun,Lower,Jawa Timur,Perempuan,Tidak bekerja,Ya,Kuliner,Kurang dari Rp750 juta,Kediri,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,Desain logo,,,,5,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,3,5,Media sosial,Fastwork,2,Kurang tertarik,Other,0
58,25-30 tahun,Upper,Jawa Barat,Perempuan,Jenis pekerjaan yang dibayar lainnya,Ya,Kuliner,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,Memenuhi tenggat waktu,,,Harian,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,,,,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,9,Media sosial,Fastwork,9,"Mohon pemasaran media nya lebih diperluas, karna sebagian masih jarang mendengar tentabg sribu.com",Other,0
59,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Other,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,4,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,8,Media sosial,Project.co.id,7,Tingkatkan pelayanan costumer servis,Other,0
60,25-30 tahun,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp7.5 miliar - Rp15 miliar,Medan,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Mingguan,Penulisan konten,NA,NA,Desain logo,,Strategi pemasaran,,10,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,10,Media sosial,Project.co.id,10,Memberikan fitur fitur yang lebih banyak dan lengkap untuk mempermudah pengguna dalam melakukan akses setiap kebutuhan Nya,Other,0
61,36-40 tahun,Upper,Jawa Barat,Laki-Laki,Pemilik usaha/Wiraswasta,Tidak,Other,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Tidak menentu,Layanan SEO,NA,NA,,,Strategi pemasaran,,8,Lebih banyak sumber daya tutorial,,,,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,8,Teman atau kolega,Other,5,Lebih murah,Other,0
62,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,Kuliner,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,,Biaya,Mencari keterampilan yang tepat,Mingguan,Pengembangan website,NA,NA,,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,,4,5,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,9,Media sosial,Sribu,9,Luar biasa. Sangat membantu,Sribu,1
63,31-35 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Harian,Manajemen media sosial,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,3,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Sribu,8,Terus meningkatkan kualifikasi untuk freelancer yang ada supaya memberikan hasil pekerjaan yang lebih maksimal,Sribu,1
64,41-45 tahun,Middle,Sumatera Selatan,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Bali,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Harian,Layanan SEO,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Project.co.id,10,Lebih maju lebih mulia,Other,0
65,25-30 tahun,Upper,DKI Jakarta,Perempuan,Tenaga lepas (freelancer),Ya,Kuliner,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,6,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,6,10,Media sosial,Sribu,10,tingkatkan lagi kualitas yang diberikan,Sribu,1
66,36-40 tahun,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Ya,20-Nov,Ya,Mencari sendiri,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,,Manajemen media sosial,7,,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Fastwork,7,Sudah sangat bagus,Other,0
67,36-40 tahun,Upper,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,9,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,8,Media sosial,Project.co.id,9,Perbanyak sosialisasi ke medsos spt tiktok dan youtube,Other,0
68,25-30 tahun,Upper,Sumatera Utara,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Semarang,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Mingguan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,10,Pencarian online,Sribu,10,Memberikan fitur fitur yang lebih canggih lagi untuk mempermudah dalam mengakses sesuai dengan kebutuhan pengguna,Sribu,1
69,25-30 tahun,Upper,Jawa Tengah,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Kurang dari Rp750 juta,Semarang,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Sribu,9,Tidak ada,Sribu,1
70,31-35 tahun,Upper,Sumatera Utara,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Medan,Rp15.000.000 - Rp75.000.000,Tidak,Ya,10-Jun,Ya,Diberi rekomendasi,,,,Biaya,Mencari keterampilan yang tepat,Triwulanan,Penulisan konten,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,7,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,4,4,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,7,7,Media sosial,Upwork,7,lebih banyak opsi,Other,0
